epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2733.01,0.71072,0.6995,1.06048,0.88864,0.84385,0.92777,0.80399,0.64825,0.61789,1.04907,0.000456863,0.000456863,0.000456863
43,2797.11,0.70404,0.67108,1.05946,0.86466,0.85077,0.91935,0.8041,0.63684,0.64312,1.03911,0.00044925,0.00044925,0.00044925
44,2861.77,0.70691,0.64791,1.05447,0.89327,0.82484,0.91673,0.80438,0.62987,0.65805,1.04122,0.000441637,0.000441637,0.000441637
45,2926.52,0.71816,0.66184,1.05965,0.85957,0.84637,0.92243,0.80626,0.64391,0.66813,1.03276,0.000434024,0.000434024,0.000434024
46,2990.23,0.71104,0.66184,1.05208,0.87844,0.84387,0.91926,0.80646,0.63722,0.65608,1.03802,0.000426411,0.000426411,0.000426411
47,3053.96,0.69825,0.64783,1.05333,0.88571,0.86604,0.93631,0.8209,0.62605,0.61225,1.02557,0.000418797,0.000418797,0.000418797
48,3118.78,0.69114,0.6305,1.04981,0.90642,0.82339,0.92532,0.80891,0.63578,0.63109,1.03738,0.000411184,0.000411184,0.000411184
49,3181.65,0.7093,0.64816,1.05278,0.89674,0.85214,0.93147,0.81885,0.62917,0.58145,1.03255,0.000403571,0.000403571,0.000403571
50,3244.66,0.69145,0.61773,1.04942,0.88629,0.84529,0.92301,0.8138,0.62037,0.62803,1.02895,0.000395958,0.000395958,0.000395958
51,3309.91,0.69241,0.63089,1.04445,0.90627,0.83826,0.92814,0.81965,0.61377,0.59231,1.02414,0.000388345,0.000388345,0.000388345
52,3374.21,0.6771,0.60906,1.04289,0.90479,0.85465,0.93413,0.823,0.61643,0.56452,1.01966,0.000380732,0.000380732,0.000380732
53,3437.93,0.67593,0.61063,1.04583,0.89581,0.83289,0.92263,0.81242,0.62511,0.64269,1.03417,0.000373119,0.000373119,0.000373119
54,3502.8,0.68609,0.61559,1.04467,0.90511,0.83853,0.92489,0.81908,0.60035,0.6113,1.01197,0.000365506,0.000365506,0.000365506
55,3568.17,0.69511,0.6261,1.04629,0.89968,0.87254,0.93502,0.8246,0.61161,0.57544,1.01523,0.000357893,0.000357893,0.000357893
56,3632.13,0.68187,0.58994,1.03486,0.88507,0.86566,0.9327,0.82815,0.59778,0.58862,1.01072,0.00035028,0.00035028,0.00035028
57,3695.84,0.68006,0.5962,1.03681,0.87922,0.87376,0.93659,0.82938,0.60392,0.54863,1.01139,0.000342666,0.000342666,0.000342666
58,3760.9,0.67294,0.58822,1.03503,0.90427,0.85612,0.93314,0.82592,0.60673,0.60707,1.00923,0.000335053,0.000335053,0.000335053
59,3824.66,0.67465,0.59317,1.03963,0.90636,0.85861,0.93716,0.82843,0.60497,0.55885,1.00832,0.00032744,0.00032744,0.00032744
60,3888.13,0.66615,0.58252,1.03576,0.91336,0.86835,0.94429,0.83569,0.59512,0.55225,1.00731,0.000319827,0.000319827,0.000319827
61,3952.98,0.66731,0.57441,1.03426,0.91133,0.8636,0.94246,0.83765,0.58991,0.55082,1.00008,0.000312214,0.000312214,0.000312214
62,4017.64,0.66642,0.57601,1.03069,0.8841,0.88585,0.93801,0.83095,0.5949,0.56054,1.00737,0.000304601,0.000304601,0.000304601
63,4081.84,0.65026,0.55628,1.02756,0.89417,0.88014,0.94125,0.83416,0.5863,0.53464,0.99987,0.000296988,0.000296988,0.000296988
64,4146.05,0.6665,0.56989,1.0273,0.89402,0.86403,0.93615,0.82954,0.59202,0.56473,1.01148,0.000289375,0.000289375,0.000289375
65,4211.67,0.64962,0.54126,1.02466,0.9011,0.85312,0.93741,0.83257,0.5924,0.54525,0.99937,0.000281762,0.000281762,0.000281762
66,4275.7,0.64428,0.54394,1.02433,0.92033,0.85632,0.93955,0.83517,0.58897,0.54268,1.00365,0.000274148,0.000274148,0.000274148
67,4340.24,0.65169,0.5538,1.03315,0.92648,0.84417,0.94086,0.83722,0.59329,0.52974,1.00684,0.000266535,0.000266535,0.000266535
68,4405.58,0.63447,0.52922,1.02194,0.91104,0.86638,0.94141,0.83905,0.58819,0.52787,0.99372,0.000258922,0.000258922,0.000258922
69,4469.37,0.64813,0.54265,1.02229,0.9081,0.86313,0.94037,0.83488,0.59059,0.54485,0.99697,0.000251309,0.000251309,0.000251309
70,4533.19,0.64499,0.5302,1.01748,0.9039,0.87228,0.9378,0.83642,0.58606,0.57095,0.99488,0.000243696,0.000243696,0.000243696
71,4599,0.65343,0.54748,1.02516,0.90957,0.86588,0.93998,0.83652,0.58799,0.55146,1.00628,0.000236083,0.000236083,0.000236083
72,4663.28,0.636,0.5261,1.02469,0.91117,0.85862,0.93637,0.83505,0.58182,0.56262,0.99533,0.00022847,0.00022847,0.00022847
73,4726.93,0.65231,0.52402,1.02395,0.9091,0.87827,0.94288,0.84257,0.57971,0.54879,0.99103,0.000220857,0.000220857,0.000220857
74,4792.7,0.63883,0.5291,1.02227,0.91628,0.86415,0.93821,0.83602,0.58306,0.5621,0.9932,0.000213244,0.000213244,0.000213244
75,4856.83,0.61018,0.48665,1.00958,0.92463,0.8557,0.94109,0.8368,0.5861,0.55319,1.00168,0.000205631,0.000205631,0.000205631
76,4920.88,0.62512,0.50413,1.01605,0.90682,0.86916,0.93867,0.83969,0.57702,0.56745,0.99363,0.000198018,0.000198018,0.000198018
77,4986.64,0.61592,0.49806,1.01281,0.89368,0.87781,0.93802,0.83973,0.57626,0.55378,0.99451,0.000190404,0.000190404,0.000190404
78,5050.66,0.62747,0.49808,1.01256,0.90616,0.87787,0.94264,0.83971,0.57895,0.54612,0.99342,0.000182791,0.000182791,0.000182791
79,5114.57,0.62151,0.49502,1.01296,0.91848,0.875,0.94046,0.84087,0.57703,0.55059,0.99396,0.000175178,0.000175178,0.000175178
